text,thisN,thisTrialN,thisRepN,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,go_image,stop_image,corr_resp,is_stop,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Trial_loop.thisRepN,Trial_loop.thisTrialN,Trial_loop.thisN,Trial_loop.thisIndex,practice_trial_loop.thisRepN,practice_trial_loop.thisTrialN,practice_trial_loop.thisN,practice_trial_loop.thisIndex,exp_trial_1.thisRepN,exp_trial_1.thisTrialN,exp_trial_1.thisN,exp_trial_1.thisIndex,exp_trials_2.thisRepN,exp_trials_2.thisTrialN,exp_trials_2.thisN,exp_trials_2.thisIndex,exp_trials_3.thisRepN,exp_trials_3.thisTrialN,exp_trials_3.thisN,exp_trials_3.thisIndex,exp_trials_4.thisRepN,exp_trials_4.thisTrialN,exp_trials_4.thisN,exp_trials_4.thisIndex,thisRow.t,notes,Welcome.started,Welcome_text.started,Welcome_text.stopped,Welcome.stopped,Instruction.started,Inst_text.started,key_resp_inst.started,Instruction.stopped,Trial_loop.key_resp_inst.keys,Trial_loop.key_resp_inst.rt,Trial_loop.key_resp_inst.duration,fixation.started,image.started,fixation.stopped,Stimulus.started,go_arrow.started,key_resp.started,stop_arrow.started,Stimulus.stopped,practice_trial_loop.key_resp.keys,practice_trial_loop.key_resp.corr,practice_trial_loop.key_resp.rt,practice_trial_loop.key_resp.duration,go_rt,stop_success,SSD,Feedback.started,fdback_text.started,fdback_text.stopped,Feedback.stopped,image.stopped,go_arrow.stopped,key_resp.stopped,stop_arrow.stopped,block_feedback.started,fb_text.started,key_resp_4.started,block_feedback.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,exp_trial_1.key_resp.keys,exp_trial_1.key_resp.corr,exp_trial_1.key_resp.rt,exp_trial_1.key_resp.duration,exp_trials_2.key_resp.keys,exp_trials_2.key_resp.corr,exp_trials_2.key_resp.rt,exp_trials_2.key_resp.duration,exp_trials_3.key_resp.keys,exp_trials_3.key_resp.corr,exp_trials_3.key_resp.rt,exp_trials_3.key_resp.duration,exp_trials_4.key_resp.keys,exp_trials_4.key_resp.corr,exp_trials_4.key_resp.rt,exp_trials_4.key_resp.duration,Thank_you.started,thankyou_text.started,Thank_you.stopped,participant,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart
,5,5,0,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4003179,None,,,,,0,5,5,2,,,,,,,,,,,,,,,,,14.3801671,,,,,,,,,,,,,14.3638349,14.3801671,14.6139588,14.6270564,14.6322051,14.6322051,14.7819728,15.0491523,left,1,0.4003179,None,0.4003179,None,0.15,15.0492167,15.0630151,15.8132673,15.7966003,14.6322051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,6,6,0,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3634326,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,15.8132673,,,,,,,,,,,,,15.7967166,15.8132673,16.0469803,16.0774822,16.0826801,16.0826801,16.215103,16.4489086,right,1,0.3634326,None,0.3634326,None,0.15,16.4489759,16.4628436,17.2131447,17.1966322,16.0826801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,7,7,0,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,17.2131447,,,,,,,,,,,,,17.1968369,17.2131447,17.4468366,17.4596262,17.4650918,17.4650918,17.616049,18.8646587,None,1,,,None,1,0.2,18.8647698,18.8791905,19.6296446,19.6130196,17.4650918,18.7141536,18.7141536,18.8791905,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,8,0,1,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4862568,None,,,,,1,0,8,4,,,,,,,,,,,,,,,,,19.6296446,,,,,,,,,,,,,19.6131387,19.6296446,19.8633118,19.8772055,19.8825058,19.8825058,20.0645829,20.3820907,right,1,0.4862568,None,0.4862568,None,0.2,20.3821829,20.3955785,21.1458006,21.1295188,19.8825058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,9,1,1,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3381161,None,,,,,1,1,9,0,,,,,,,,,,,,,,,,,21.1458006,,,,,,,,,,,,,21.1296887,21.1458006,21.3798403,21.393157,21.3983175,21.3983175,21.5975487,21.748267,left,1,0.3381161,None,0.3381161,None,0.2,21.7483431,21.7622079,22.512444,22.495894,21.3983175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,10,2,1,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,1,2,10,3,,,,,,,,,,,,,,,,,22.512444,,,,,,,,,,,,,22.4960151,22.512444,22.74615,22.7571664,22.7642121,22.7642121,22.9653481,24.2139562,None,1,,,None,1,0.25,24.214066,24.228479,24.9788787,24.9623418,22.7642121,24.0134467,24.0134467,24.228479,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,11,3,1,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3645784,None,,,,,1,3,11,6,,,,,,,,,,,,,,,,,24.9788787,,,,,,,,,,,,,24.9624553,24.9788787,25.2127202,25.2249025,25.230681,25.230681,25.4640375,25.5977993,right,1,0.3645784,None,0.3645784,None,0.25,25.5978621,25.6117195,26.3621055,26.3453735,25.230681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,12,4,1,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.457639,None,,,,,1,4,12,1,,,,,,,,,,,,,,,,,26.3621055,,,,,,,,,,,,,26.3454893,26.3621055,26.595715,26.6076919,26.6138029,26.6138029,26.8638691,27.0811599,left,1,0.457639,None,0.457639,None,0.25,27.0812224,27.0946813,27.8452384,27.8286935,26.6138029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,13,5,1,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3681186,None,,,,,1,5,13,2,,,,,,,,,,,,,,,,,27.8452384,,,,,,,,,,,,,27.8288255,27.8452384,28.0791189,28.0904905,28.0968455,28.0968455,28.3470032,28.4809999,left,1,0.3681186,None,0.3681186,None,0.25,28.4810643,28.4944749,29.2448171,29.2284292,28.0968455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,14,6,1,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.4001573,None,,,,,1,6,14,7,,,,,,,,,,,,,,,,,29.2448171,,,,,,,,,,,,,29.2285434,29.2448171,29.4788032,29.4898255,29.4965446,29.4965446,29.7478767,29.8984221,right,0,0.4001573,None,None,0,0.2,29.9020215,29.9111618,30.6615774,30.6450631,29.4965446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,15,7,1,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.351677,None,,,,,1,7,15,5,,,,,,,,,,,,,,,,,30.6615774,,,,,,,,,,,,,30.6451827,30.6615774,30.8951816,30.9067001,30.9133245,30.9133245,31.1133027,31.280525,right,1,0.351677,None,0.351677,None,0.2,31.2824364,31.2941671,32.044589,32.0281599,30.9133245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,16,0,2,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3958796,None,,,,,2,0,16,5,,,,,,,,,,,,,,,,,32.044589,,,,,,,,,,,,,32.028275,32.044589,32.2783782,32.2894504,32.2964253,32.2964253,32.4962949,32.6971111,right,1,0.3958796,None,0.3958796,None,0.2,32.6971862,32.7108701,33.4611282,33.4444836,32.2964253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,17,1,2,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3773956,None,,,,,2,1,17,6,,,,,,,,,,,,,,,,,33.4611282,,,,,,,,,,,,,33.4446004,33.4611282,33.6948754,33.7068594,33.7128805,33.7128805,33.9129552,34.096753,right,1,0.3773956,None,0.3773956,None,0.2,34.0968194,34.1107032,34.8610126,34.8445829,33.7128805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,18,2,2,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,2,2,18,3,,,,,,,,,,,,,,,,,34.8610126,,,,,,,,,,,,,34.8447014,34.8610126,35.0946779,35.1093335,35.1147818,35.1147818,35.3138937,36.562689,None,1,,,None,1,0.25,36.5628007,36.5770755,37.3274045,37.3108299,35.1147818,36.3785771,36.3785771,36.5770755,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,19,3,2,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3831081,None,,,,,2,3,19,1,,,,,,,,,,,,,,,,,37.3274045,,,,,,,,,,,,,37.3109454,37.3274045,37.5611819,37.5740968,37.5794835,37.5794835,37.8289828,37.9795765,left,1,0.3831081,None,0.3831081,None,0.25,37.9796429,37.9932969,38.7436843,38.7271718,37.5794835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,20,4,2,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.361271,None,,,,,2,4,20,0,,,,,,,,,,,,,,,,,38.7436843,,,,,,,,,,,,,38.7272997,38.7436843,38.9776299,38.9894626,38.9954369,38.9954369,39.2456859,39.3629306,left,1,0.361271,None,0.361271,None,0.25,39.3629958,39.3766582,40.1270154,40.1104507,38.9954369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,21,5,2,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3693395,None,,,,,2,5,21,4,,,,,,,,,,,,,,,,,40.1270154,,,,,,,,,,,,,40.1105882,40.1270154,40.3608411,40.3732009,40.3787037,40.3787037,40.6287189,40.7629853,right,1,0.3693395,None,0.3693395,None,0.25,40.7630639,40.7764902,41.526838,41.5102125,40.3787037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,22,6,2,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4177021,None,,,,,2,6,22,2,,,,,,,,,,,,,,,,,41.526838,,,,,,,,,,,,,41.5103389,41.526838,41.7606151,41.7728121,41.7784715,41.7784715,42.0285225,42.2126829,left,1,0.4177021,None,0.4177021,None,0.25,42.2127476,42.2265096,42.9765823,42.9601658,41.7784715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,23,7,2,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.3570473,None,,,,,2,7,23,7,,,,,,,,,,,,,,,,,42.9765823,,,,,,,,,,,,,42.9603074,42.9765823,43.2105389,43.2226466,43.2282563,43.2282563,43.479578,43.5968392,right,0,0.3570473,None,None,0,0.2,43.5990421,43.6094958,44.3597783,44.3431841,43.2282563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,24,0,3,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3659108,None,,,,,3,0,24,4,,,,,,,,,,,,,,,,,44.3597783,,,,,,,,,,,,,44.3432974,44.3597783,44.5935855,44.6056831,44.6114985,44.6114985,44.8116525,44.9790824,right,1,0.3659108,None,0.3659108,None,0.2,44.9809111,44.9924291,45.7428194,45.7264786,44.6114985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,25,1,3,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3851,None,,,,,3,1,25,0,,,,,,,,,,,,,,,,,45.7428194,,,,,,,,,,,,,45.7266064,45.7428194,45.9769052,45.9892393,45.9944492,45.9944492,46.1945441,46.3951422,left,1,0.3851,None,0.3851,None,0.2,46.3952062,46.4091876,47.1593196,47.1425242,45.9944492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,26,2,3,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.353551,None,,,,,3,2,26,7,,,,,,,,,,,,,,,,,47.1593196,,,,,,,,,,,,,47.1426383,47.1593196,47.3930427,47.409295,47.4145332,47.4145332,47.6122034,47.7799986,right,0,0.353551,None,None,0,0.15,47.7825859,47.7923187,48.5426257,48.5260047,47.4145332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,27,3,3,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3063448,None,,,,,3,3,27,5,,,,,,,,,,,,,,,,,48.5426257,,,,,,,,,,,,,48.5261221,48.5426257,48.7764109,48.7884949,48.7943448,48.7943448,48.9443788,49.1117501,right,1,0.3063448,None,0.3063448,None,0.15,49.1139631,49.1253909,49.875766,49.8593184,48.7943448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,28,4,3,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4255203,None,,,,,3,4,28,1,,,,,,,,,,,,,,,,,49.875766,,,,,,,,,,,,,49.8595352,49.875766,50.1095548,50.1215918,50.1274075,50.1274075,50.2775088,50.5615213,left,1,0.4255203,None,0.4255203,None,0.15,50.561586,50.5753026,51.3255344,51.3091224,50.1274075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,29,5,3,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.604022,None,,,,,3,5,29,2,,,,,,,,,,,,,,,,,51.3255344,,,,,,,,,,,,,51.3092403,51.3255344,51.5593415,51.5715513,51.5771995,51.5771995,51.7273523,52.1946209,left,1,0.604022,None,0.604022,None,0.15,52.1946885,52.2083828,52.9588315,52.941996,51.5771995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,30,6,3,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3933301,None,,,,,3,6,30,6,,,,,,,,,,,,,,,,,52.9588315,,,,,,,,,,,,,52.9421121,52.9588315,53.1923671,53.204846,53.2110847,53.2110847,53.3604353,53.6110724,right,1,0.3933301,None,0.3933301,None,0.15,53.6111416,53.6249041,54.3752572,54.3587455,53.2110847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,31,7,3,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,3,7,31,3,,,,,,,,,,,,,,,,,54.3752572,,,,,,,,,,,,,54.3588715,54.3752572,54.6089877,54.621349,54.6269218,54.6269218,54.7781607,56.0266611,None,1,,,None,1,0.2,56.026773,56.0412191,56.7929773,56.775011,54.6269218,55.8761806,55.8761806,56.0412191,,,,,,,,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7891708,56.7929773,56.7929773,68.7905164,space,11.9811367,None,,,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,0,0,0,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,68.814246,,,,,,,,,,,,,68.8108046,68.814246,69.0567321,69.0701363,69.0754133,69.0754133,69.24282,70.4915915,,,,,None,1,0.25,,,,,,70.3243625,70.3243625,70.5064936,,,,,,,,None,1,,,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,1,1,0,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3756185,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,70.5064936,,,,,,,,,,,,,70.4918247,70.5064936,70.740144,70.752128,70.7581474,70.7581474,70.9916358,71.1422609,,,,,0.3756185,None,0.25,,,,,70.7581474,,,,,,,,,,,left,1,0.3756185,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,2,2,0,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4119862,None,,,,,,,,,0,2,2,4,,,,,,,,,,,,,71.1563724,,,,,,,,,,,,,71.1424273,71.1563724,71.3902409,71.4033723,71.4087089,71.4087089,71.6581233,71.8256743,,,,,0.4119862,None,0.25,,,,,71.4087089,,,,,,,,,,,right,1,0.4119862,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,3,3,0,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3253727,None,,,,,,,,,0,3,3,6,,,,,,,,,,,,,71.8395687,,,,,,,,,,,,,71.8258487,71.8395687,72.0734567,72.0859555,72.0911416,72.0911416,72.3413468,72.4256861,,,,,0.3253727,None,0.25,,,,,72.0911416,,,,,,,,,,,right,1,0.3253727,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
