text,thisN,thisTrialN,thisRepN,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,go_image,stop_image,corr_resp,is_stop,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Trial_loop.thisRepN,Trial_loop.thisTrialN,Trial_loop.thisN,Trial_loop.thisIndex,practice_trial_loop.thisRepN,practice_trial_loop.thisTrialN,practice_trial_loop.thisN,practice_trial_loop.thisIndex,exp_trial_1.thisRepN,exp_trial_1.thisTrialN,exp_trial_1.thisN,exp_trial_1.thisIndex,exp_trials_2.thisRepN,exp_trials_2.thisTrialN,exp_trials_2.thisN,exp_trials_2.thisIndex,exp_trials_3.thisRepN,exp_trials_3.thisTrialN,exp_trials_3.thisN,exp_trials_3.thisIndex,exp_trials_4.thisRepN,exp_trials_4.thisTrialN,exp_trials_4.thisN,exp_trials_4.thisIndex,thisRow.t,notes,Welcome.started,Welcome_text.started,Welcome.stopped,Instruction.started,Inst_text.started,key_resp_inst.started,Instruction.stopped,Trial_loop.key_resp_inst.keys,Trial_loop.key_resp_inst.rt,Trial_loop.key_resp_inst.duration,fixation.started,image.started,fixation.stopped,Stimulus.started,go_arrow.started,key_resp.started,stop_arrow.started,Stimulus.stopped,practice_trial_loop.key_resp.keys,practice_trial_loop.key_resp.corr,practice_trial_loop.key_resp.rt,practice_trial_loop.key_resp.duration,go_rt,stop_success,SSD,Feedback.started,fdback_text.started,fdback_text.stopped,Feedback.stopped,image.stopped,go_arrow.stopped,key_resp.stopped,stop_arrow.stopped,block_feedback.started,fb_text.started,key_resp_4.started,block_feedback.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,exp_trial_1.key_resp.keys,exp_trial_1.key_resp.corr,exp_trial_1.key_resp.rt,exp_trial_1.key_resp.duration,exp_trials_2.key_resp.keys,exp_trials_2.key_resp.corr,exp_trials_2.key_resp.rt,exp_trials_2.key_resp.duration,exp_trials_3.key_resp.keys,exp_trials_3.key_resp.corr,exp_trials_3.key_resp.rt,exp_trials_3.key_resp.duration,exp_trials_4.key_resp.keys,exp_trials_4.key_resp.corr,exp_trials_4.key_resp.rt,exp_trials_4.key_resp.duration,Thank_you.started,thankyou_text.started,Thank_you.stopped,participant,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart
,14,6,1,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3703323,None,,,,,1,6,14,2,,,,,,,,,,,,,,,,,29.7817081,,,,,,,,,,,,29.7656119,29.7817081,30.0155529,30.0282068,30.0336642,30.0336642,30.2335183,30.4174925,left,1,0.3703323,None,0.3703323,None,0.2,30.4175574,30.4312248,31.1815041,31.1653425,30.0336642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,15,7,1,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3610241,None,,,,,1,7,15,0,,,,,,,,,,,,,,,,,31.1815041,,,,,,,,,,,,31.1655265,31.1815041,31.4154259,31.4282614,31.4335061,31.4335061,31.6333227,31.8004385,left,1,0.3610241,None,0.3610241,None,0.2,31.8005038,31.8143323,32.5647815,32.5479301,31.4335061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,16,0,2,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3998416,None,,,,,2,0,16,6,,,,,,,,,,,,,,,,,32.5647815,,,,,,,,,,,,32.5480433,32.5647815,32.7985175,32.8116158,32.8168897,32.8168897,33.016429,33.2337344,right,1,0.3998416,None,0.3998416,None,0.2,33.2337989,33.2474721,33.9978518,33.9812704,32.8168897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,17,1,2,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3799849,None,,,,,2,1,17,1,,,,,,,,,,,,,,,,,33.9978518,,,,,,,,,,,,33.9813876,33.9978518,34.2317325,34.2447409,34.2499285,34.2499285,34.4494274,34.6336736,left,1,0.3799849,None,0.3799849,None,0.2,34.6337387,34.6471639,35.3976609,35.3812166,34.2499285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,18,2,2,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,2,2,18,3,,,,,,,,,,,,,,,,,35.3976609,,,,,,,,,,,,35.3813764,35.3976609,35.6315006,35.6440561,35.6492325,35.6492325,35.8506657,37.0991502,None,1,,,None,1,0.25,37.0992643,37.1136914,37.8639922,37.8475331,35.6492325,36.8984164,36.8984164,37.1136914,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,19,3,2,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3822496,None,,,,,2,3,19,5,,,,,,,,,,,,,,,,,37.8639922,,,,,,,,,,,,37.8476516,37.8639922,38.097689,38.1101051,38.1157523,38.1157523,38.3489833,38.4998767,right,1,0.3822496,None,0.3822496,None,0.25,38.4999704,38.5134899,39.2638216,39.247159,38.1157523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,20,4,2,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.4948781,None,,,,,2,4,20,7,,,,,,,,,,,,,,,,,39.2638216,,,,,,,,,,,,39.247276,39.2638216,39.4976648,39.5106205,39.5158167,39.5158167,39.7667753,40.0175196,right,0,0.4948781,None,None,0,0.2,40.0200873,40.0300525,40.7803525,40.7640013,39.5158167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,21,5,2,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4121282,None,,,,,2,5,21,2,,,,,,,,,,,,,,,,,40.7803525,,,,,,,,,,,,40.7641523,40.7803525,41.0143333,41.0264307,41.0320555,41.0320555,41.232165,41.4496237,left,1,0.4121282,None,0.4121282,None,0.2,41.452048,41.4631673,42.2134158,42.1967032,41.0320555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,22,6,2,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4061784,None,,,,,2,6,22,4,,,,,,,,,,,,,,,,,42.2134158,,,,,,,,,,,,42.1968212,42.2134158,42.4475977,42.4599655,42.4655532,42.4655532,42.6652043,42.8824743,right,1,0.4061784,None,0.4061784,None,0.2,42.8825439,42.8962141,43.6465126,43.6300128,42.4655532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,23,7,2,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4141974,None,,,,,2,7,23,0,,,,,,,,,,,,,,,,,43.6465126,,,,,,,,,,,,43.6301367,43.6465126,43.8805108,43.8945726,43.8998455,43.8998455,44.098428,44.3157867,left,1,0.4141974,None,0.4141974,None,0.2,44.3158802,44.3293858,45.0797583,45.0632389,43.8998455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,24,0,3,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4081462,None,,,,,3,0,24,6,,,,,,,,,,,,,,,,,45.0797583,,,,,,,,,,,,45.0633513,45.0797583,45.3136979,45.3281452,45.3332604,45.3332604,45.5315654,45.7489659,right,1,0.4081462,None,0.4081462,None,0.2,45.7490357,45.7626732,46.5128667,46.4963812,45.3332604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,25,1,3,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3849128,None,,,,,3,1,25,5,,,,,,,,,,,,,,,,,46.5128667,,,,,,,,,,,,46.4965207,46.5128667,46.7467484,46.758562,46.7646668,46.7646668,46.9646083,47.1653403,right,1,0.3849128,None,0.3849128,None,0.2,47.1654069,47.1791234,47.9293421,47.912897,46.7646668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,26,2,3,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3967809,None,,,,,3,2,26,1,,,,,,,,,,,,,,,,,47.9293421,,,,,,,,,,,,47.9130128,47.9293421,48.1634567,48.1758673,48.181101,48.181101,48.3812451,48.5819106,left,1,0.3967809,None,0.3967809,None,0.2,48.5819799,48.5955614,49.3458378,49.3293403,48.181101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,27,3,3,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4369875,None,,,,,3,3,27,4,,,,,,,,,,,,,,,,,49.3458378,,,,,,,,,,,,49.3294525,49.3458378,49.5796786,49.5924426,49.5977853,49.5977853,49.797621,50.0485834,right,1,0.4369875,None,0.4369875,None,0.2,50.0486828,50.0620869,50.812346,50.7957096,49.5977853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,28,4,3,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4049375,None,,,,,3,4,28,0,,,,,,,,,,,,,,,,,50.812346,,,,,,,,,,,,50.7958366,50.812346,51.0461786,51.0590499,51.0642982,51.0642982,51.2642145,51.4814254,left,1,0.4049375,None,0.4049375,None,0.2,51.4814906,51.4950783,52.2454376,52.2290502,51.0642982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,29,5,3,,,,images/go_right.png,images/stop_right.png,None,1,None,1,,,,,,,3,5,29,7,,,,,,,,,,,,,,,,,52.2454376,,,,,,,,,,,,52.2292211,52.2454376,52.4793438,52.4918529,52.497197,52.497197,52.698475,53.9471116,None,1,,,None,1,0.25,53.9472243,53.9616102,54.7118562,54.6952088,52.497197,53.7464643,53.7464643,53.9616102,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,30,6,3,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,3,6,30,3,,,,,,,,,,,,,,,,,54.7118562,,,,,,,,,,,,54.6953223,54.7118562,54.9456435,54.9580501,54.963633,54.963633,55.1980113,56.4466983,None,1,,,None,1,0.3,56.4468099,56.4612555,57.2115187,57.1951131,54.963633,56.2129033,56.2129033,56.4612555,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,31,7,3,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4126009,None,,,,,3,7,31,2,,,,,,,,,,,,,,,,,57.2115187,,,,,,,,,,,,57.195256,57.2115187,57.44544,57.4576516,57.4633358,57.4633358,57.7467125,57.8806961,left,1,0.4126009,None,0.4126009,None,0.3,57.8807613,57.8945171,58.6444078,58.6282048,57.4633358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6405472,58.6444078,58.6444078,62.544909,space,3.8905526,None,,,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,0,0,0,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,62.5608523,,,,,,,,,,,,62.5498482,62.5608523,62.7946962,62.8071835,62.812634,62.812634,63.0969624,64.34573,,,,,None,1,0.35,,,,,62.812634,64.0619632,64.0619632,64.3605758,,,,,,,,None,1,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,1,1,0,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3917198,None,,,,,,,,,0,1,1,4,,,,,,,,,,,,,64.3605758,,,,,,,,,,,,64.3459549,64.3605758,64.5945859,64.6073336,64.6126307,64.6126307,64.9455594,65.0130953,,,,,0.3917198,None,0.35,,,,,64.6126307,,,,,,,,,,,right,1,0.3917198,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,2,2,0,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3448383,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,65.0272188,,,,,,,,,,,,65.0132302,65.0272188,65.2611408,65.2748978,65.2801792,65.2801792,65.6291566,65.6301227,,,,,0.3448383,None,0.35,,,,,65.2801792,,,,,,,,,,,left,1,0.3448383,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,3,3,0,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3555329,None,,,,,,,,,0,3,3,0,,,,,,,,,,,,,65.6438435,,,,,,,,,,,,65.6302594,65.6438435,65.8777613,65.8917291,65.8968909,65.8968909,66.2456568,66.2630878,,,,,0.3555329,None,0.35,,,,,65.8968909,,,,,,,,,,,left,1,0.3555329,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
